label,term,year,n_records
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1950,52
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1951,61
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1952,49
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1953,52
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1954,74
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1955,51
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1956,72
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1957,78
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1958,96
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1959,101
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1960,76
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1961,74
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1962,116
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1963,185
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1964,247
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1965,257
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1966,202
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1967,241
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1968,307
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1969,297
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1970,288
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1971,334
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1972,284
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1973,331
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1974,319
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1975,714
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1976,712
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1977,681
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1978,710
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1979,733
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1980,748
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1981,760
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1982,778
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1983,819
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1984,864
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1985,871
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1986,883
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1987,900
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1988,849
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1989,1023
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1990,974
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1991,934
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1992,907
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1993,866
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1994,840
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1995,825
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1996,831
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1997,855
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1998,851
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",1999,836
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2000,821
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2001,875
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2002,831
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2003,936
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2004,935
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2005,964
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2006,1021
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2007,1018
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2008,1012
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2009,971
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2010,1022
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2011,998
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2012,1035
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2013,1038
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2014,1073
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2015,1036
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2016,1055
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2017,1047
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2018,995
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2019,1106
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2020,1196
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2021,1239
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2022,1224
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2023,1079
T3_retarded_slur,"retarded OR ""retards"" OR ""retard""",2024,915
T3_hottentot,"Hottentot OR Hottentots OR ""Hottentot Venus"" OR ""Hottentot apron""",1950,0
T3_hottentot,"Hottentot OR Hottentots OR ""Hottentot Venus"" OR ""Hottentot apron""",1951,0
T3_hottentot,"Hottentot OR Hottentots OR ""Hottentot Venus"" OR ""Hottentot apron""",1952,1
T3_hottentot,"Hottentot OR Hottentots OR ""Hottentot Venus"" OR ""Hottentot apron""",1953,0
T3_hottentot,"Hottentot OR Hottentots OR ""Hottentot Venus"" OR ""Hottentot apron""",1954,0
