label,term,year,n_records
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1978,1
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1979,4
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1980,4
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1981,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1982,4
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1983,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1984,3
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1985,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1986,1
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1987,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1988,1
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1989,4
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1990,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1991,1
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1992,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1993,6
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1994,2
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1995,6
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1996,3
DIS_old_deaf_mute,"""deaf-mute"" OR ""deaf mute"" OR ""deaf and dumb""",1997,4
